Fitur,Importance,Importance (%)
lights,0.06253346846658321,6.25
RH_1,0.06085753732247815,6.09
T2,0.05857164935678816,5.86
RH_8,0.05201752956759806,5.2
RH_out,0.048427169198196805,4.84
Press_mm_hg,0.04765627421412769,4.77
RH_9,0.04712508550388544,4.71
RH_3,0.045421839793030425,4.54
RH_6,0.0450804325860662,4.51
T3,0.042859565464395045,4.29
RH_2,0.041072442018529026,4.11
T8,0.04058289104044207,4.06
RH_7,0.040512364671202554,4.05
RH_5,0.03522111637306007,3.52
RH_4,0.03473640595347866,3.47
T5,0.03427311348390871,3.43
T9,0.033907819806537405,3.39
T6,0.03345589154891241,3.35
T4,0.03276203398969022,3.28
T7,0.03210573012372127,3.21
Tdewpoint,0.03128087053119647,3.13
T_out,0.030600571916131795,3.06
Windspeed,0.0269438772209759,2.69
T1,0.026901970606186983,2.69
Visibility,0.015092349242877457,1.51
